;full_text;user_id_str;image_url;location
0;INFO LAYANAN MASYARAKAT PERSKINCAREAN DI ALFAMART!!! https://t.co/4tX5aiSXiX;1,01991E+18;https://pbs.twimg.com/media/FtRkNzsaAAAJEzd.jpg;
1;Massive shout out to my ex karena dulu pernah ngasih tau kalau Alfamart bisa belanja online tanpa biaya ongkir layanan yadayadayada. Saat memudahkan waktu sakit 🫥 https://t.co/8aY03TB1dV;1,39728E+18;https://pbs.twimg.com/media/FtEkm8caMAAt96D.jpg;Naya.
2;Alfamart Berikan Layanan Kesehatan Gratis kepada Warga Bumi Ayu    https://t.co/iq19TwT1Hs;1,14005E+18;;
3;"Alhamdulillah Skrg @ShopeeID mengenakan Biaya TopUp Saldo @ShopeePay_ID yg dilakukan di @alfamart sbg bentuk"" PENINGKATAN LAYANAN  Agar customer tdk ragu bayar biaya peningkatan layanan ini adalah dgn cara shopee memotong saldo yg masuk sesaat stlh transaksi dikasir berhasil 🙏🏻 https://t.co/xVvUtjA5NL""";9,50642E+17;https://pbs.twimg.com/media/FmlDrmxaAAMIG-A.jpg;
4;TIPE TOKO CONVENIENCE ALFAMART ADALAH | KONSEP  PRODUK DAN LAYANAN https://t.co/ZjSi9rbix2;1156583228;;Kp.Rambutan, DKI Jakarta
5;Top up ShopeePay di Alfamart  bisa sendiri dengan fitur layanan e-wallet yang digunakan sebagai alat transaksi untuk belanja online produk apa saja yang Anda inginkan di Shopee  https://t.co/Myf5lPZbxj;1,25372E+18;;Karawang, Jawa Barat
6;Gokil sih  @alfamart layanan pesan antar nya terbaik !!!;1461532213;;Kota Tangerang, Banten
7;Anggota Polsek Mondokan Polres Sragen melaksanakan sosialisasi WA ( Whatsapp ) center Polres Sragen dengan nomor layanan 08877110110 kepada karyawan Alfamart Sumberejo https://t.co/kzTd7XzLSP;1,55668E+18;https://pbs.twimg.com/media/GBrnSWtbUAAXuRd.jpg;
8;Saldo-mu habis di waktu kritis? Tenang  bisa langsung isi dekat rumah. Dateng aja ke Alfamidi dan Alfamart terdekat.  Info lengkap  cek https://t.co/OtgZDBH0qR   Pede #Apa2Bisa  Layanan Customer Service LinkAja:  Live Chat: https://t.co/ujn1NCgcxn https://t.co/SJ5J7cg8aS;3195998996;https://pbs.twimg.com/media/FnTNzJsaEAA7HZ_.jpg;
9;@alfamart Layanan keluhan pelanggan dimana nih.ada oknum karyawan yg kasar terhadap konsumen.pdahal konsumen yg sdh brlngganan lama nih;1,50983E+18;;
10;Layanan alfamart bs mesen dari wa ini membantu bgt sihhh walaupun kdg ada gerainya yg kirim agak lama;64909467;;
11;Baru tau klo alfamart nyediain layanan antar galon air yang gratis ongkirr 🥹 Sangat membantu bagi aku yg engga ada motor  engga harus angkat2 beli dari toko;373873801;;Bumi 
12;Terdapat sebuah Pengumuman ya gaess.. Selama pelayanan libur  pembayaran Pajak Kendaraan Bermotor tahunan dpt dilakukan melalui layanan e-Channel Samsat jatim (Indomaret  Alfamart  Bank Jatim  Griya bayar  KB Bukopin  Pos Indonesia  Tokopedia  Link Aja  Gopay) &amp;;;
13;Info layanan persiomay-an  Siomay alfamart Gergunung  enak Bapak e naik motor Pake panci blirik Perbiji 1k;406715980;;
14;Peringati Hari Gizi Nasional  Gebyar Posyandu Alfamart Berikan Layanan Kesehatan Gratis https://t.co/cSkgoEKsLc;108774611;;Yogyakarta
15;SEDEKAH AWAL TAHUN  Raih keberkahan di awal tahun 2023 ini dengan bersedekah mengiringi terbukanya pintu-pintu kemudahan di sepanjang tahun.  Mari bersedekah di BAZNAS melalui Kasir Alfamart di seluruh Indonesia  Layanan BAZNAS: https://t.co/HaiacWko09  #baznas #alfamart #sedekah https://t.co/POD3jAXbFE;293290619;https://pbs.twimg.com/media/FmGtgF2aMAAHUqJ.jpg;Jakarta Capital Region
16;@alfamart Halo @alfamart layanan keluhan pelanggan dimana yah? saya mendapat pelayanan yang tidak menyenangkan bahkan nge gas dan gak ada permisi  maaf  terima kasih. Mohon dibalas yah  terima kasih;99499844;;
17;Dear @alfamart  Mohon diperbaiki unt layanan @alfagift_idn nya krn sdh beberapa kali pesanan yg saya terima tdk sesuai. Dan barusan saya jg terima SKM yg kalengnya peyot. Terima kasih #alfagift;2483586312;;Yogyakarta
18;PATROLI KEWILAYAHAN  Personil Polsek Cikarang Selatan Aiptu Winarno  melaksanakan sosialisasi layanan Polri 110 di Alfamart Desa Sukaresmi untuk menyampaikan himbauan kamtibmas  @kapolres_bekasikabupaten @humaspolresmetrobekasi https://t.co/3mhRk8kqMB;9,69218E+17;https://pbs.twimg.com/media/F_17ELdbkAEvMow.jpg;cikarang selatan
19;Kecewa banget sama @alfamart  Pake layanan AlfaGift tapi pesenan gk pernah nyampe kerumah  gk ada kabar nomor gk bisa di hubungi. Niat gk sih @alfagift_idn?   #pelayananburuk #pelanggankecewe #badservice #alfamart #alfamidi;1,57428E+18;;
20;Infor layanan masyarakat : Kopsu mr beam alfamart lagi promo 8k paynent gopay.   Mayan buat pondasi menjalani hari;786998773;;she/her 🇮🇩
21;BSI Hadirkan Layanan Tarik Tunai Tanpa Kartu di Alfamart https://t.co/nZYu6Q0yym #BandarLampung #Sumatra;1,37976E+18;;
22;Transaksi Belanja Makin Cepat dan Simpel di Alfamart dengan Fitur QRIS dari DANA: Mobitekno – Aplikasi dompet digital DANA memperluas layanan bagi pengguna dengan menggandeng salah […] https://t.co/BZPL9mYoPW https://t.co/cwi9CzeN8h;2940371460;https://pbs.twimg.com/media/Fq1nPHyaMAAJrAJ.jpg;Jakarta 
23;Wates - Bhabinkamtibmas Giripeni Aipda Sularni melaksanakan Penempelan No Hotline Kapolda DIY dan Kapolres Kulon progo tentang Layanan Aduan Masyarakat Kepada Polri di kantor Kalurahan Giripeni  Alfamart Graulan dan Atm BNI Sideman depan PT. Putra Patria Adikarsa.Jumat (11/08) https://t.co/YQGzvlftbw;1,37999E+18;https://pbs.twimg.com/media/F3OiNk8bwAA2EDo.jpg;
24;@alfagift_idn @alfamart Perbaiki dulu layanan pengiriman ke buyer. Lelet sekarang.;503125705;;Bandung, Indonesia
25;@BanyuSadewa @alfamart @Indomaret nihh banyak komplen terkait layanan anda;1,22327E+18;;
26;Dapatkan bonus extra 1.000 A-Poin di Alfamart! Setiap melakukan pembayaran layanan Telkom Group  Sahabat bisa mendapatkan bonus A-Poinnya loo! Yuk buruan nikmati extra A-Poinnya di #Alfamart terdekat!😍  Periode 18 - 20 Desember 2023 S&amp;;;
27;@BPJSKesehatanRI Sejak Bulan Januari  Premi BPJS Kesehatan tidak bisa dibayarkan. Mulai dari layanan Mobile Banking  E-Commers  Alfamart &amp;;;
28;SISA 2 HARI LAGI NIH SAHABAT!😱  Dengan pembayaran BPJS Ketenagakerjaan  CAR life insurance  atau layanan televisi di Alfamart  Sahabat bisa mendapatkan Chocopie secara GRATIS!!  Yuk buruan lakukan pembayarannya di #Alfamart terdekat!  Periode s/d 15 Des 2023 S&amp;;;
