;Unnamed: 0;full_text;user_id_str;image_url;location
0;0;info layanan masyarakat perskincarean di alfamart  ;1,01991E+18;https://pbs.twimg.com/media/FtRkNzsaAAAJEzd.jpg;
1;1;massive shout out to my ex karena dulu pernah ngasih tau kalau alfamart bisa belanja online tanpa biaya ongkir layanan yadayadayada  saat memudahkan waktu sakit  dotted line face  ;1,39728E+18;https://pbs.twimg.com/media/FtEkm8caMAAt96D.jpg;Naya.
2;2;alfamart berikan layanan kesehatan gratis kepada warga bumi ayu  ;1,14005E+18;;
3;3;alhamdulillah skrg  mengenakan biaya topup saldo  yg dilakukan di  sbg bentuk  peningkatan layanan  agar customer tdk ragu bayar biaya peningkatan layanan ini adalah dgn cara shopee memotong saldo yg masuk sesaat stlh transaksi dikasir berhasil  folded hands light skin tone  ;9,50642E+17;https://pbs.twimg.com/media/FmlDrmxaAAMIG-A.jpg;
4;4;tipe toko convenience alfamaadalah   konsep  produk dan layanan ;1156583228;;Kp.Rambutan, DKI Jakarta
5;5;top up shopeepay di alfamart  bisa sendiri dengan fitur layanan e wallet yang digunakan sebagai alat transaksi untuk belanja online produk apa saja yang anda inginkan di shopee  ;1,25372E+18;;Karawang, Jawa Barat
6;6;gokil sih  layanan pesan antar nya terbaik  ;1461532213;;Kota Tangerang, Banten
7;7;anggota polsek mondokan polres sragen melaksanakan sosialisasi wa   whatsapp   center polres sragen dengan nomor layanan             kepada karyawan alfamart sumberejo ;1,55668E+18;https://pbs.twimg.com/media/GBrnSWtbUAAXuRd.jpg;
8;8;saldo mu habis di waktu kritis  tenang  bisa langsung isi dekat rumah  dateng aja ke alfamidi dan alfamart terdekat   info lengkap  cek  pede apa bisa  layanan customer service linkaja   live chat   ;3195998996;https://pbs.twimg.com/media/FnTNzJsaEAA7HZ_.jpg;
9;9; layanan keluhan pelanggan dimana nih ada oknum karyawan yg kasar terhadap konsumen pdahal konsumen yg sdh brlngganan lama nih;1,50983E+18;;
10;10;layanan alfamart bs mesen dari wa ini membantu bgt sihh walaupun kdg ada gerainya yg kirim agak lama;64909467;;
11;11;baru tau klo alfamart nyediain layanan antar galon air yang gratis ongkirr  face holding back tears  sangat membantu bagi aku yg engga ada motor  engga harus angkat  beli dari toko;373873801;;Bumi 
12;12;terdapat sebuah pengumuman ya gaess  selama pelayanan libur  pembayaran pajak kendaraan bermotor tahunan dpt dilakukan melalui layanan e channel samsat jatim  indomaret  alfamart  bank jatim  griya bayar  kb bukopin  pos indonesia  tokopedia  link aja  gopay   amp  aplikasi signal  ;8,18706E+17;https://pbs.twimg.com/media/FzYe7qXaMAAqO7Z.jpg;Kota Surabaya, Jawa Timur
13;13;info layanan persiomay an  siomay alfamart gergunung  enak bapak e naik motor pake panci blirik perbiji  k;406715980;;
14;14;peringati hari gizi nasional  gebyar posyandu alfamart berikan layanan kesehatan gratis ;108774611;;Yogyakarta
15;15;sedekah awal tahun  raih keberkahan di awal tahun      ini dengan bersedekah mengiringi terbukanya pintu pintu kemudahan di sepanjang tahun   mari bersedekah di baznas melalui kasir alfamart di seluruh indonesia  layanan baznas   baznas alfamart sedekah ;293290619;https://pbs.twimg.com/media/FmGtgF2aMAAHUqJ.jpg;Jakarta Capital Region
