;user_id_str;POS tagged;Subjectivity;Polarity;TextBlob
0;1,01991E+18;[('info', 'n'), ('layanan', 'n'), ('masyarakat', 'n'), ('perskincarean', 'a'), ('di', 'n'), ('alfamart', None)];0.0;0.0;Neutral
1;1,39728E+18;[('massive', 'a'), ('shout', 'n'), ('ex', 'a'), ('karena', None), ('dulu', 'n'), ('pernah', 'n'), ('ngasih', 'a'), ('tau', 'n'), ('kalau', None), ('alfamart', 'a'), ('bisa', 'n'), ('belanja', 'n'), ('online', 'n'), ('tanpa', 'n'), ('biaya', 'n'), ('ongkir', None), ('layanan', 'a'), ('yadayadayada', 'n'), ('saat', 'n'), ('memudahkan', 'n'), ('waktu', 'a'), ('sakit', 'n'), ('dotted', None), ('line', 'n'), ('face', 'n')];1.0;0.0;Neutral
2;1,14005E+18;[('alfamart', 'r'), ('berikan', 'a'), ('layanan', 'n'), ('kesehatan', 'n'), ('gratis', 'n'), ('kepada', 'n'), ('warga', 'n'), ('bumi', 'n'), ('ayu', 'n')];0.0;0.0;Neutral
3;9,50642E+17;[('alhamdulillah', 'n'), ('skrg', 'n'), ('mengenakan', 'n'), ('biaya', 'n'), ('topup', 'n'), ('saldo', 'n'), ('yg', 'n'), ('dilakukan', 'n'), ('di', 'n'), ('sbg', 'n'), ('bentuk', 'n'), ('peningkatan', 'n'), ('layanan', 'n'), ('agar', 'n'), ('customer', 'n'), ('tdk', 'n'), ('ragu', 'n'), ('bayar', 'n'), ('biaya', 'n'), ('peningkatan', 'n'), ('layanan', 'n'), ('ini', 'n'), ('adalah', 'n'), ('dgn', 'n'), ('cara', 'n'), ('shopee', 'n'), ('memotong', 'a'), ('saldo', 'n'), ('yg', 'n'), ('masuk', 'n'), ('sesaat', 'n'), ('stlh', 'n'), ('transaksi', 'n'), ('dikasir', 'n'), ('berhasil', 'n'), ('folded', None), ('hands', 'n'), ('light', 'a'), ('skin', None), ('tone', 'n')];0.7;0.4;Positive
4;1156583228;[('tipe', 'a'), ('toko', 'n'), ('convenience', 'n'), ('alfamaadalah', 'n'), ('konsep', 'n'), ('produk', 'n'), ('dan', 'n'), ('layanan', 'n')];0.0;0.0;Neutral
5;1,25372E+18;[('top', None), ('shopeepay', 'n'), ('di', 'n'), ('alfamart', None), ('bisa', 'a'), ('sendiri', 'n'), ('dengan', 'n'), ('fitur', 'a'), ('layanan', 'n'), ('e', 'n'), ('wallet', 'n'), ('yang', 'n'), ('digunakan', 'n'), ('sebagai', 'n'), ('alat', 'a'), ('transaksi', 'n'), ('untuk', 'a'), ('belanja', 'n'), ('online', 'n'), ('produk', 'n'), ('apa', 'n'), ('saja', 'n'), ('yang', 'n'), ('anda', 'n'), ('inginkan', 'a'), ('di', 'n'), ('shopee', 'n')];0.5;0.5;Positive
6;1461532213;[('gokil', 'n'), ('sih', 'n'), ('layanan', None), ('pesan', 'a'), ('antar', 'n'), ('nya', 'n'), ('terbaik', 'n')];0.0;0.0;Neutral
7;1,55668E+18;[('anggota', 'n'), ('polsek', 'n'), ('mondokan', 'n'), ('polres', None), ('sragen', 'a'), ('melaksanakan', 'a'), ('sosialisasi', 'n'), ('wa', 'n'), ('whatsapp', 'n'), ('center', 'n'), ('polres', None), ('sragen', 'a'), ('dengan', 'a'), ('nomor', 'n'), ('layanan', 'n'), ('kepada', 'n'), ('karyawan', 'n'), ('alfamart', 'n'), ('sumberejo', 'n')];0.1;-0.1;Negative
8;3195998996;[('saldo', 'n'), ('mu', 'n'), ('habis', 'n'), ('di', 'n'), ('waktu', 'n'), ('kritis', 'n'), ('tenang', 'n'), ('bisa', 'n'), ('langsung', 'n'), ('isi', 'n'), ('dekat', 'n'), ('rumah', 'n'), ('dateng', 'n'), ('aja', 'n'), ('ke', 'n'), ('alfamidi', 'n'), ('dan', 'a'), ('alfamart', 'n'), ('terdekat', 'n'), ('info', 'n'), ('lengkap', 'n'), ('cek', 'n'), ('pede', 'n'), ('apa', 'n'), ('bisa', 'n'), ('layanan', 'a'), ('customer', 'n'), ('service', 'n'), ('linkaja', 'r'), ('live', None), ('chat', 'n')];0.5;0.13636363636363635;Positive
9;1,50983E+18;[('layanan', 'n'), ('keluhan', 'n'), ('pelanggan', 'a'), ('dimana', 'a'), ('nih', 'n'), ('ada', None), ('oknum', 'n'), ('karyawan', 'n'), ('yg', 'n'), ('kasar', 'n'), ('terhadap', 'a'), ('konsumen', 'n'), ('pdahal', None), ('konsumen', 'n'), ('yg', None), ('sdh', 'a'), ('brlngganan', 'n'), ('lama', 'n'), ('nih', 'n')];0.0;0.0;Neutral
